Pregunta,Intencion,Pregunta_T1
yo voy a hacer un viaje a europa y quiero saber si puedo retirar euros de los cajeros del banco santander,Cat_298,Voy a hacer un viaje a Europa y quiero saber si puedo retirar euros de los cajeros automáticos del banco Santander
descargar resumen impositivo,Cat_137,descargar resumen de impuestos
necesito restablecer las claves de la tarjeta estan todas bloqueadas,Cat_288,Necesito restablecer las llaves de la tarjeta están todas bloqueadas
puedo solicitar un prestamo hipotecario si soy dueño de una vivienda?,Cat_228,¿Puedo solicitar un préstamo hipotecario si tengo una casa?
como puedo cargar la sube desde home banking,Cat_132,¿Cómo puedo subirlo desde la banca local?
quiero saber si tengo linea crediticia en este momento y si no. cuando yo a tener.,Cat_223,Quiero saber si tengo una línea de crédito en este momento y si no. cuando tengo que tener.
conocer limites de compra que tengo,Cat_303,saber los límites de compra que tengo
necesito saber sobre un préstamo en efectivo,Cat_225,necesito saber sobre un préstamo en efectivo
hacer cambiar producto necesitar informar llegar tarjeta,Cat_293,hacer cambio de producto necesita informar obtener tarjeta
saber demorar acreditar pagar redbus,Cat_132,saber cómo retrasar el pago de crédito redbus
queria consultar si mi tarjeta se encuentra bloqueada,Cat_286,Quería ver si mi tarjeta está bloqueada
quiero que me tomes una queja,Cat_133,Quiero que hagas una queja
quiero dar de baja una cobertura,Cat_262,Quiero cancelar una cobertura
calculo de interes de lebac,Cat_155,cálculo de intereses de lebac
quiero renovar mi ccredito,Cat_223,Quiero renovar mi credito
pagar servicio tarjeta,Cat_132,servicio de tarjeta de pago
me gustaría recibir el resumen de las tarjetas de ccredito.soy el adicional,Cat_138,Me gustaría recibir el resumen de las tarjetas de crédito. Soy el adicional
como paga la lecap,Cat_158,¿Cómo paga el lecap?
como hay que hacer para obtener el credito,Cat_223,cómo hacer para obtener el crédito
mi tarjeta nueva reemplaza a la vieja o siguen funcionando ambas?‚äö¬¨√ö¬°¬¨í‚ç¨¬¶¬°¬¨‚ç¨≈°¬¨√≠‚ä¶¬°¬¨¬π,Cat_316,¿Mi nueva tarjeta reemplaza a la anterior o ambas siguen funcionando? ‚Äö¬¨√ö¬ ° ¬¨í‚ç¨¬¶¬ ° ¬¨‚ç¨≈ ° ¬¨√ ≠‚ ä¶¬ ° ¬¨¬π
que datos necesito para pagar mis facturas por la tarjeta?,Cat_132,¿Qué información necesito para pagar mis facturas por la tarjeta?
quisiera saber si puedo solicitar un prestamo,Cat_223,Me gustaría saber si puedo solicitar un préstamo
que es debitar afip,Cat_115,que es debip afip
donde puedo consultar mi sucursal,Cat_100,donde puedo revisar mi sucursal
puedes realizar la simulación de un préstamo personal por $ a pagar en cuotas. para una persona que aún no es cliente?,Cat_251,Puede simular un préstamo personal por $ a pagar en cuotas. para una persona que aún no es cliente?
donde averiguo cuál es el monto máximo para un préstamo?,Cat_236,¿Dónde puedo averiguar cuál es el monto máximo para un préstamo?
queria saber como recargar la sube desde online banking,Cat_132,Quería saber cómo recargarlo desde la banca en línea
no me reintegraron el iva de las compras que hice,Cat_58,No me devolvieron el IVA de las compras que hice
quisiera saber si puedo comprar una propiedad que esta en suseción mediante prestamo hipotecario,Cat_211,Me gustaría saber si puedo comprar una propiedad que está en suspensión a través de una hipoteca
quiero saber para que me llamavan,Cat_146,Quiero saber para qué me llamaron
como saber el limite de compras en cuotas de la tarjeta,Cat_303,Cómo saber el límite de compras en cuotas de la tarjeta
quise cambiar la contraseña de mi tarjeta visa debito cambie de contraseña desde un cajero y se me inhabilito.,Cat_288,Quería cambiar la contraseña de mi tarjeta de visa para cambiar la contraseña de débito de un cajero automático y fui desactivado.
como es el tema de la supervivencia en las jubilaciones?,Cat_88,¿Cómo es el tema de la supervivencia en la jubilación?
se puede solicitar un préstamo hipotecario para comprar una casa en construccion?,Cat_228,¿Se puede solicitar un préstamo hipotecario para comprar una casa en construcción?
como es el tema del prestamo prendario ?,Cat_225,¿Cómo es el tema del préstamo de compromiso?
por que sube la cuota del préstamo mes a mes?,Cat_219,¿Por qué aumenta la cuota del préstamo mes a mes?
las píìlizas no las pedí¬≠¬≠¬≠¬≠¬ç,Cat_264,No pedí los bolígrafos ¬ ≠ ¬ ≠ ¬ ≠ ¬ ≠ ¬ç
se pueden hacer consumos en dolares con la tarjeta recargable?,Cat_313,¿Se pueden realizar compras en dólares con la tarjeta recargable?
cambiar clave usuario celular,Cat_1,cambiar contraseña de usuario de celda
cuales son las condiciones que la propiedad tiene que cumplir con un prestamo hipotecario?,Cat_211,¿Cuáles son las condiciones que debe cumplir la propiedad con un préstamo hipotecario?
necesito un simulador de prestamos,Cat_251,Necesito un simulador de prestamo
queria saber si ya habia llegado mi tarjeta de debito visa a la sucursal,Cat_293,Quería saber si mi tarjeta de débito Visa ya había llegado a la sucursal
paso telefono contactar,Cat_147,contacto telefónico
limite tarjeta de credito adicional,Cat_335,limitar la tarjeta de crédito adicional
extranjero requisito abrir,Cat_39,requisito extranjero abierto
como puedo actualizar mis datos de la poliza? el domicilio que figura no es el actual.,Cat_267,¿Cómo puedo actualizar los detalles de mi política? la dirección que se muestra no es la actual.
como hago para pedir una reimpresión de mi tarjeta?,Cat_316,¿Cómo puedo solicitar una reimpresión de mi tarjeta?
como hago para imprimir mi resumen mensual?,Cat_138,¿Cómo puedo imprimir mi resumen mensual?
cuanto tiempo tardan en mandarme lo que canjeé?,Cat_326,¿Cuánto tiempo lleva enviarme lo que canjeé?
necesito informar que voy a ir al exterior y voy a llevar mi tarjeta american express.,Cat_304,Necesito informar que me voy al extranjero y que voy a tomar mi tarjeta American Express.
estoy interesado en un préstamo como son lasncuotas intereses y de más.,Cat_251,Estoy interesado en un préstamo como intereses y más.
cuales son los pasos para solicitar un super préstamo hipotecario uvas?,Cat_241,¿Cuáles son los pasos para solicitar un préstamo hipotecario super uva?
limite tarjeta,Cat_303,tarjeta de límite
seguimiento tramitar cotitularidad,Cat_118,copropiedad del proceso de seguimiento
compre con los puntos super club entradas para cine pero no me dieron el codigo,Cat_326,Compré las entradas para el cine con los puntos del súper club pero no me dieron el código
necesitaría el numero de telefono de ustedes que termina en,Cat_147,Necesitaría tu número de teléfono que termina en
infinity gold,Cat_86,oro infinito
mi prestamo hipotecario es de como será el valor de mis cuotas?,Cat_251,¿Cuál es el valor de mis cuotas de mi préstamo hipotecario?
quiero saber si tengo un cajero cerca,Cat_91,Quiero saber si tengo un cajero automático cerca
necesito certificar la firma de un documento.,Cat_94,Necesito certificar la firma de un documento.
necesito hablar con alguien donde llamo,Cat_29,Necesito hablar con alguien a quien llamo
en función de que parámetros varía el cer?,Cat_107,¿Según qué parámetros varía el cer?
deseo activar algunos pagos de servicios por debito automatico en la cuenta,Cat_132,Deseo activar algunos pagos de servicio mediante débito automático en la cuenta
puedo solicitar un préstamo hipotecario si soy monotributista?,Cat_248,¿Puedo solicitar un préstamo hipotecario si soy un monotributista?
bloqueo de tarjeta de coordenadas,Cat_5,coordinar bloqueo de tarjeta
necesito sacar mi numero de cuenta y sucursal para que me depositen,Cat_68,Necesito obtener mi número de cuenta y sucursal para depositarme
no tengo el dni argentino. puedo hacer una cuenta en el santander?,Cat_39,No tengo la identificación argentina. ¿Puedo hacer una cuenta en santander?
el prestamo hipotecario es para primera vivienda?,Cat_228,¿Es el préstamo hipotecario para la primera casa?
hasta de cuanto es la cuota de credito hipotecario?,Cat_251,incluso cuánto es la tarifa del préstamo hipotecario?
que hipotecas tienen?,Cat_225,¿Qué hipotecas tienen?
sos una inteligencia artificial,Cat_26,eres una inteligencia artificial
cuanto cuesta la comisión para comprar lebacs?,Cat_96,¿Cuánto cuesta la comisión para comprar lebacs?
mi sueldos es de y quiero ser selecr,Cat_86,mi salario es de y quiero ser selecto
cuando me van a dejar de cobrar el segudo de saldo deudor?,Cat_319,¿Cuándo dejarán de cobrarme el seguro del saldo deudor?
reclamar doble cargo en tarjeta de debito,Cat_112,reclamar el doble cargo en la tarjeta de débito
quiero comunicarme con algun número de telefono para pedir una adicional de mi tarjeta,Cat_334,Quiero contactar un número de teléfono para solicitar una tarjeta adicional
cómo me puedo inscribir en las becas universitarias?,Cat_358,¿Cómo puedo inscribirme en becas universitarias?
solicitar tarjeta de credito,Cat_337,solicitar tarjeta de crédito
me robó la empleada doméstica  tengo cobertura?,Cat_265,"la trabajadora doméstica me robó, ¿tengo cobertura?"
que pasa si me atraso con el pago del préstamo hipotecario?,Cat_240,¿Qué sucede si me atraso con el préstamo hipotecario?
que necesito para tramitar un credito prendario?,Cat_248,¿Qué necesito para procesar un crédito de compromiso?
comision cajero,Cat_96,comisión de cajero
ver debitaron dinero sacar,Cat_112,ver sacar dinero cargado
¿cómo pago mi tarjeta santander crédito?,Cat_342,¿Como pago mi tarjeta de crédito santander?
simulación de super prestamo santander rio,Cat_251,simulación de super préstamo santander rio
quiero una cuenta,Cat_39,quiero una cuenta
a que numero puedo llamar para comunicarme desde el interior por informacion?,Cat_147,¿A qué número puedo llamar para comunicarme desde adentro para obtener información?
me podrías pasar un telefono para llamar al sector de seguros?,Cat_147,¿Me podría dar un teléfono para llamar al sector de seguros?
credito disponible american express,Cat_303,crédito disponible american express
pasar favor,Cat_147,pasar por favor
quierotelefono comunicarme atenciin cliente,Cat_147,Quiero que el teléfono comunique el servicio al cliente.
el plazo fijo en dolares no conviene no?,Cat_178,"El plazo fijo en dólares no es conveniente, ¿verdad?"
como creo un cuenta en el banco rio y cuanto sale?,Cat_39,¿Cómo creo una cuenta bancaria y cuánto sale?
querer pagar tarjeta credito visa,Cat_342,quiere pagar con tarjeta de crédito visa
cargo comisiones cobro,Cat_96,cobrar comisión de cobro
necesito recuperar la impresión del comprobante del plazo fijo renovado el,Cat_98,Necesito recuperar la prueba impresa del plazo fijo renovado en
si sos cliente se otorgan los préstamos con veraz,Cat_244,"si usted es un cliente, los préstamos son sinceros"
para reemplazo de tarjeta,Cat_316,para reemplazo de tarjeta
extraccion de dolares por sucursal,Cat_128,extracción de dólares por sucursal
que sucede si el valor de la vivienda esta por encima de la tasacion?,Cat_217,¿Qué sucede si el valor de la casa está por encima de la tasación?
me pueden dar informacion sobre el préstamo?,Cat_225,¿me puede dar información sobre el préstamo?
como doy de baja la caja de ahorro que figura a mi nombre en este banco,Cat_41,¿Cómo cancelo la cuenta de ahorros que aparece a mi nombre en este banco?
quisiera saber si puedo extraer dinero sin costo en cualquier cajera red banelco o solo en los de santander,Cat_96,Me gustaría saber si puedo retirar dinero sin costo de cualquier cajero automático de la red Banelco o solo de Santander
debito automatico servicios,Cat_132,servicios de débito automáticos
cómo sé que peluquerias están adheridas ?,Cat_311,¿Cómo sé qué peluqueros están unidos?
si tengo afectado el veras puedo igual pedir un ccredito?,Cat_244,"Si tengo la verdad, ¿puedo solicitar un crédito?"
si no puedo demostrar ingresos?,Cat_233,si no puedo probar ingresos?
me robaron el celular me cubre?,Cat_265,me robaron el celular?
que es una cuenta titulo?,Cat_169,¿Qué es una cuenta de título?
no pudo comunicarme con el centro de inversiones.,Cat_29,No se pudo contactar con el centro de inversiones.
hasta cuantos meses puedo sacar mi préstamo hipotecario?,Cat_242,¿Cuántos meses puedo sacar mi préstamo hipotecario?
no entró el pago total de la amex.,Cat_346,el pago total de la amex no entró.
descontar recaudación electronico,Cat_115,descuento colección electrónica
quiero hacer un préstamo personal,Cat_223,Quiero hacer un prestamo personal
quisiera pagar  mi deuda refinanciada,Cat_192,Me gustaría pagar mi deuda refinanciada
en un préstamo hipotecario  el banco financia el % del valor de compra de la vivienda?,Cat_245,"En un préstamo hipotecario, ¿financia el banco el% del valor de compra de la vivienda?"
no efectiviza bajo cuenta,Cat_41,no efectivo a cuenta
debito automatico de tdc luego de que ya pague,Cat_350,débito automático de tdc después de que ya pagué
necesito el levantamiento de prenda,Cat_235,Necesito que me quiten la prenda
sucursal de radicacion,Cat_100,rama de archivo
quiero saca un prestamo para cambiar el auto,Cat_223,Quiero pedir un préstamo para cambiar el auto.
pedirte cambiar usuario página,Cat_1,pedirle que cambie la página del usuario
desvincularme cuenta sueldo,Cat_41,desvinculame cuenta de salario
porque nopuedo realizar tranferencias de mi cuenta?,Cat_80,¿Por qué no puedo hacer transferencias desde mi cuenta?
